relative_path,file_type,key_classes,key_functions,depends_on,used_by,main_purpose,relevance_category
sram_compiler/testbenches/sram_6t_core_MC_testbench.py,python_testbench_source,Sram6TCoreMcTestbench,"__init__, create_mc_model_file, create_testbench, add_meas_and_print, add_analysis, get_table_head, gen_process_params, _extract_sweep_rows, gen_param_sweep_generic, gen_model_sweep_generic, run_mc_simulation, _col","PySpice.Spice.Netlist, PySpice.Unit, math, numpy, os, pandas, sram_compiler.config_yaml.sweep_config, sram_compiler.testbenches.snm, sram_compiler.testbenches.sram_6t_core_testbench, subprocess, utils","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_estimation.py, main_sram.py, plot_data.py, size_optimization/exp_utils.py, size_optimization/experiment.py",Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
sram_compiler/testbenches/sram_6t_core_testbench.py,python_testbench_source,Sram6TCoreTestbench,"__init__, create_time_circuit, add_cs_startup_clamp, create_replica_column, create_dummy_column, create_dummy_row, create_dummy_row_2, create_and2_for_rwl, create_decoder, create_wl_driver, create_D_latch, create_read_periphery, create_write_periphery, create_single_cell_for_snm, data_init, create_testbench","PySpice.Spice.Netlist, PySpice.Unit, math, sram_compiler.subcircuits.standard_cell, sram_compiler.testbenches.base_testbench, sram_compiler.testbenches.parameter_factor, utils","equivalent_modeling/main_sram.py, main_estimation.py, plot_data.py, sram_compiler/testbenches/sram_6t_core_MC_testbench.py",Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
sram_compiler/testbenches/yaml_change.py,python_testbench_source,NONE,"update_sram6t_yaml_inplace, update_global_yaml_inplace, summarize_from_csv","numpy, pandas, ruamel.yaml, typing",main_sram.py,Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
utils.py,source_code,NONE,"parse_mc_measurements, generate_mc_statistics, save_mc_results, read_prn_with_preprocess, split_blocks, visualize_results, process_simulation_data, _normalize_sram_cell_type, estimate_bitcell_area, estimate_total_area, estimate_array_area, estimate_array_macro_area, estimate_total_macro_area, _cell_width_metric, _cell_height_metric, estimate_scaled_array_area, parse_spice_models, remove_comments","math, matplotlib.lines, matplotlib.pyplot, matplotlib.ticker, numpy, pandas, pathlib, re, typing","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_estimation.py, main_sram.py, size_optimization/demo_nsgaii.py, size_optimization/exp_utils.py, size_optimization/moead/ga_utils.py, sram_compiler/testbenches/sram_6t_core_MC_testbench.py, sram_compiler/testbenches/sram_6t_core_testbench.py, yield_estimation/tool/Distribution/multi_cone_cluster.py",UNKNOWN,UTILITY
yield_estimation/__init__.py,yield_estimation_source,NONE,NONE,NONE,UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/demo_6tstamTestbench.py,yield_estimation_source,NONE,NONE,NONE,UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/ACS.py,yield_estimation_source,ACS,"__init__, save_y_to_txt, indicator, _identify_fail, _IS_bound, _construct_mixture_norm, _calculate_weight, _calculate_val, _calculate_fail_rate, _calculate_fail_rate_this_round, _calculate_FOM, _initial_sampling, _save_result, start_estimate","mpmath, numpy, os, sys, time, tool.Distribution.gmm_v2, tool.Distribution.multi_cone_cluster, tool.Distribution.normal_v1, tool.delete, tool.util","demo_run_a_testbench.py, main_estimation.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/AIS.py,yield_estimation_source,AIS,"__init__, save_y_to_txt, indicator, save_result, indicator_func, _IS_bound, pre_sampling, calculate_weights, _calculate_fail_rate, _calculate_FOM, _calculate_val, resampling, resampling_new, _construct_mixture_norm, start_estimate","numpy, os, pandas, sys, time, tool.Distribution.gmm_v2, tool.Distribution.normal_v1, tool.delete, tool.util, torch, torch.nn","demo_run_a_testbench.py, main_estimation.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/HSCS.py,yield_estimation_source,HSCS,"__init__, save_y_to_txt, indicator, indicator_func, _IS_bound, sample_on_sphere, pre_sampling, normr, get_radius, get_weights, weighted_sphere_Kmeans, find_min_norm, get_cluster_ratios, _construct_mixture_norm, save_result, _calculate_fail_rate_this_round, _calculate_fail_rate, _calculate_FOM","numpy, os, sklearn.cluster, sys, time, tool.Distribution.gmm_v2, tool.delete, tool.util, torch.nn","demo_run_a_testbench.py, main_estimation.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/MC.py,yield_estimation_source,MC,"seed_torch, __init__, save_y_to_txt, indicator, save_result, _get_new_y, _evaluate, _get_initial_sample, rearrage_x, _IS_bound, start_estimate","numpy, os, random, sys, time, tool.Distribution.normal_v1, tool.delete, tool.util, torch","demo_run_a_testbench.py, main_estimation.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/MNIS.py,yield_estimation_source,MNIS,"__init__, save_y_to_txt, indicator, _calculate_val, _calculate_fail_rate_this_round, _calculate_fail_rate, _calculate_FOM, _save_result, _initial_sampling, _IS_bound, start_estimate","numpy, os, sys, time, tool.Distribution.normal_v1, tool.delete, tool.util","demo_run_a_testbench.py, main_estimation.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/model_lib/__init__.py,yield_estimation_source,NONE,NONE,NONE,UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/__init__.py,yield_estimation_source,NONE,NONE,NONE,UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/gmm_v1.py,yield_estimation_source,"GaussianMixture, mixture_gaussian","calculate_matmul_n_times, calculate_matmul, __init__, _init_params, check_size, bic, fit, predict, predict_proba, sample, score_samples, _estimate_log_prob, _calculate_log_det, _e_step, _m_step, __em, __score, __update_mu","math, mpmath, numpy, scipy.special, torch",UNKNOWN,Handmade distribution of Gaussian mixture model  手工实现高斯混合模型,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/gmm_v2.py,yield_estimation_source,"GaussianMixture, mixture_gaussian","calculate_matmul_n_times, calculate_matmul, __init__, _init_params, check_size, bic, fit, predict, predict_proba, sample, score_samples, _estimate_log_prob, _calculate_log_det, _e_step, _m_step, __em, __score, __update_mu","math, mpmath, numpy, scipy.special, torch","demo_run_a_testbench.py, main_estimation.py, yield_estimation/model_lib/ACS.py, yield_estimation/model_lib/AIS.py, yield_estimation/model_lib/HSCS.py",Handmade distribution of Gaussian mixture model,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/guassian_distribution.py,yield_estimation_source,Guassian_distribution,"__init__, replace_zeros, Ourmodel_estimate_log_prob, ACS_estimate_log_prob, ACS_estimate_log_prob_for1093, HSCS_estimate_log_prob, AIS_estimate_log_prob, AIS_estimate_log_prob_v2, AIS_estimate_log_prob_for1093, Ourmodel_Sample_propagation, ACS_Sample_propagation, check_allzero, ACS_Sample_propagation_for1093, ACS_Sample_propagation_new, HSCS_Sample_propagation, AIS_Sample_propagation, AIS_Sample_propagation_v2, AIS_Sample_propagation_for1093","Code.Exp.Data.SPICE_case2.SPICE_case2, copy, gpytorch, mpmath, numpy, sys, torch",UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/multi_cone_cluster.py,yield_estimation_source,cone_cluster,"__init__, cluster","Distribution.utils, numpy, time",yield_estimation/model_lib/ACS.py,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/normal_v1.py,yield_estimation_source,norm_dist,"__init__, sample, log_pdf, log_cdf, pdf","math, mpmath, numpy, scipy.special, scipy.stats","demo_run_a_testbench.py, main_estimation.py, yield_estimation/model_lib/ACS.py, yield_estimation/model_lib/AIS.py, yield_estimation/model_lib/MC.py, yield_estimation/model_lib/MNIS.py",normal distribution  正态分布,OPTIMIZATION_ALGORITHM
yield_estimation/tool/Distribution/utils.py,yield_estimation_source,NONE,"normalize, cos_distance",numpy,"demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_estimation.py, main_sram.py, size_optimization/demo_nsgaii.py, size_optimization/exp_utils.py, size_optimization/moead/ga_utils.py, sram_compiler/testbenches/sram_6t_core_MC_testbench.py, sram_compiler/testbenches/sram_6t_core_testbench.py, yield_estimation/tool/Distribution/multi_cone_cluster.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/__init__.py,yield_estimation_source,NONE,NONE,NONE,UNKNOWN,Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/delete.py,yield_estimation_source,NONE,delete_folder_content,"os, shutil","yield_estimation/model_lib/ACS.py, yield_estimation/model_lib/AIS.py, yield_estimation/model_lib/HSCS.py, yield_estimation/model_lib/MC.py, yield_estimation/model_lib/MNIS.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
yield_estimation/tool/util.py,yield_estimation_source,NONE,"save_obj, load_obj, seed_set, write_data2csv, get_model_class_name, print_metrics_v2","numpy, os, pandas, pickle, prettytable, random, time, torch","demo_run_a_testbench.py, size_optimization/demo_tssbo.py, yield_estimation/model_lib/ACS.py, yield_estimation/model_lib/AIS.py, yield_estimation/model_lib/HSCS.py, yield_estimation/model_lib/MC.py, yield_estimation/model_lib/MNIS.py",Implements SRAM yield-estimation algorithms and related statistical utilities.,OPTIMIZATION_ALGORITHM
